title,total_gross,gross,return_rate,std_IMDB,std_Meta,rating,distributor,release_date,release_month,release_year,genre,mins,MPAA_rating,budget (millions),theatres,totalweek,IMDB_rating,director,stars,Metascore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36SAINTS,"11,640","9,754",#VALUE!,-3.10411077,#VALUE!,#VALUE!,ACTIVE FOX PRODUCTIONS,2013/9/6,9,2013,Thriller,#VALUE!,R,N/A,9,1,2.9,Eddy Duran,"Franky G,Jeffrey De Serrano,Donna McKechnie",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3BACKYARDS,"43,073","37,381",#VALUE!,-1.028588504,0.683253926,-0.345334579,SCREEN MEDIA,2011/3/11,3,2011,Drama,88,R,N/A,1,5,5.1,Eric Mendelsohn,"Elias Koteas,Kathryn Erbe,Edie Falco",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DAYSTOKILL,"30,697,999",25312756.21 ,1.096357107,0.009172629,-1.049047134,-1.039874505,RELATIVITY,2014/2/21,2,2014,Action Thriller,117,PG-13,28,2872,12,6.2,McG,"Kevin Costner,Hailee Steinfeld,Connie Nielsen",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GEEZERS!,"4,175","3,498",#VALUE!,-2.726743086,#VALUE!,#VALUE!,UNKNOWN,2013/5/22,5,2013,Comedy,81,Unrated,N/A,15,2,3.3,Michelle Schumacher,"J.K. Simmons,Tim Allen,Scott Caan",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3IDIOTS,"6,532,874",5944626.95 ,#VALUE!,2.179036816,#VALUE!,#VALUE!,RELIANCE BIG PICTURES,2009/12/23,12,2009,Comedy / Drama,160,PG,N/A,119,12,8.5,Rajkumar Hirani,"Aamir Khan,Madhavan,Mona Singh",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"95,020,213",79620437.39 ,2.375505325,1.235617604,0.265112291,1.500729895,WARNER BROS.,2013/4/12,4,2013,Sports Drama,128,PG-13,40,3003,15,7.5,Brian Helgeland,"Chadwick Boseman,T.R. Knight,Harrison Ford",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444LASTDAYONEARTH,"17,801","15,135",#VALUE!,-1.594640031,-0.212763864,-1.807403895,IFC,2012/3/23,3,2012,Fantasy Drama,81,R,N/A,3,2,4.5,Abel Ferrara,"Willem Dafoe,Shanyn Leigh,Natasha Lyonne",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44INCHCHEST,"39,033","34,945",#VALUE!,-0.368195056,-0.630905499,-0.999100555,IMAGE ENTERTAINMENT,2010/1/15,1,2010,Drama,95,R,N/A,1,9,5.8,Malcolm Venville,"Ray Winstone,Ian McShane,John Hurt",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45365,853,764,#VALUE!,#VALUE!,1.818209792,#VALUE!,SEVEN ARTS DISTRIBUTION,2010/2/26,2,2010,Documentary,90,Unrated,N/A,1,2,NA,NA,NA,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47RONIN,"38,362,475",32145129.36 ,0.219214143,0.10351455,-1.765861365,-1.662346815,UNIVERSAL,2013/12/25,12,2013,Action Drama,127,PG-13,175,2688,7,6.3,Carl Rinsch,"Keanu Reeves,Hiroyuki Sanada,Ko Shibasaki",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
